상호,주소,별점
원조할아버지손두부,서울 광진구 자양로 324 1층,4.4
서북면옥,서울 광진구 자양로 199-1 1층,3.6
영미오리탕 군자점,서울 광진구 동일로60길 53 천수빌딩 1층,4.0
계탄집 본점,서울 광진구 능동로 31 1층,4.4
화기애애 건대점,서울 광진구 아차산로31길 16 1층,4.1
건대사시미,서울 광진구 아차산로33길 23 1층,3.0
남한강민물매운탕,서울 광진구 동일로 150 1층,3.8
백일도,서울 광진구 능동로47길 37,4.0
대명소곱창,서울 광진구 능동로 298 1층,3.9
능동아구찜,"서울 광진구 천호대로 544 1, 2층",
광장동가온,서울 광진구 아차산로78길 75 현대골든텔2차 106호,3.0
함흥본가면옥 건대점,서울 광진구 광나루로 456 1층,3.4
고고기,서울 광진구 아차산로 471 CS프라자빌딩 1층,4.4
도톰 본점,서울 광진구 능동로 386 1층,4.8
대원칼국수,서울 광진구 자양로18길 56 2층,4.5
포차조개구이,서울 광진구 용마산로 40 1층,4.5
우리콩밭손두부,서울 광진구 영화사로 76 1층,3.8
군자대한곱창 본점,서울 광진구 능동로36길 10 1층,3.1
기와집 본점,서울 광진구 면목로 32 1층,
마당족발,"서울 광진구 능동로 173 1, 2층",4.0
택이네조개전골 군자역점,서울 광진구 천호대로 591 유신빌딩 1층,3.4
장군갈비,서울 광진구 용마산로 11,3.6
돕,서울 광진구 아차산로31길 9,3.1
동해해물,서울 광진구 동일로26길 16 1층,2.8
군자오리촌,서울 광진구 능동로35길 18-1,4.3
행복한우,서울 광진구 구의강변로 30,3.7
미식일가,서울 광진구 광나루로19길 9 1층,4.1
선남씨 자양점,서울 광진구 자양번영로 62 1층,3.1
민정식당 본점,서울 광진구 아차산로42길 41-4 1층,3.8
크래버 대게나라 광장점,서울 광진구 천호대로 611 1층,3.8
비스타워커힐서울 명월관,서울 광진구 워커힐로 177,3.8
풍성감자탕,서울 광진구 자양로18길 5,3.3
예담밥상,서울 광진구 동일로22길 13 1층,
치바우뼈다귀 중곡점,서울 광진구 용마산로 38 1층,4.3
돈수작 능동본점,서울 광진구 능동로36길 13 1층,3.3
소랑도,서울 광진구 천호대로111길 41 1층,4.5
에이뿔램 군자점,서울 광진구 능동로36길 36 2층,4.8
콩예원,서울 광진구 아차산로78길 75,4.0
매복식당,서울 광진구 아차산로57길 10-1 1층 102호,4.6
찌마기 구의점,서울 광진구 구의로 17,4.3
힘찬갯벌낙지,서울 광진구 능동로37길 6,4.2
최원석의돼지한판 광장점,서울 광진구 아차산로 478 1층,3.8
육일관,서울 광진구 아차산로31길 10,3.5
깍뚝,서울 광진구 능동로19길 36 1층,
서울편백찜 광장점,서울 광진구 광장로 83 1층,3.8
고흥순대국머리고기,서울 광진구 아차산로34길 26 1층,3.7
안동참찜닭 본점,서울 광진구 동일로20길 117 1층,4.5
소사면옥,서울 광진구 능동로 270 윤중빌딩 1층 101호,3.9
마루샤브 구의점,서울 광진구 아차산로 355 타워더모스트광진아크로텔 지하1층,3.1
최원석의돼지한판쭈꾸미 건대1호점,서울 광진구 아차산로 199 1층,3.5
홍별감네,서울 광진구 긴고랑로 28 1층,
카레당,서울 광진구 능동로 251 1층,4.4
성수완당 본점,서울 광진구 아차산로26길 13 1층,4.4
양양집 구의점,서울 광진구 아차산로 457 1층,4.0
포항막회물회,서울 광진구 아차산로31길 28 1층,3.9
고기굽는놈,서울 광진구 아차산로31길 8,3.8
제주탐하리,서울 광진구 천호대로101길 11 1층,4.1
청와옥 군자역점,서울 광진구 천호대로 562 1층,3.7
시래마을,서울 광진구 아차산로 431 강변에스케이뷰 상가3동 1층 104~105호,4.7
섬진강풍천장어직판장,서울 광진구 동일로 190 1층,3.6
산골닭갈비,서울 광진구 구의강변로7길 5 1층,3.5
찜집,서울 광진구 자양번영로 44 1층,4.0
동대문곱창,서울 광진구 뚝섬로27길 37 1층,3.6
화양시장할머니순대국,서울 광진구 아차산로 293 1층,3.6
임진강,서울 광진구 긴고랑로 93,3.7
양촌리 구의점,서울 광진구 아차산로 482 1-2층,
장인석닭한마리,서울 광진구 자양로43길 49-6,4.1
도도곱창,서울 광진구 아차산로34길 18 1층,4.1
장원닭한마리,서울 광진구 천호대로111길 46 1층,4.6
고향집,서울 광진구 아차산로49길 30,4.6
화로구이 소요일 아차산직영점,서울 광진구 자양로43길 7 1층,3.2
강남면옥 광장점,서울 광진구 구의강변로 106 삼성쉐르빌 109호,3.3
아차산유황오리,서울 광진구 영화사로 62-1 1층,4.3
강나루 유황오리주물럭 본점,서울 광진구 아차산로57길 5 1층,4.4
숙성부심,서울 광진구 능동로 271-1 1층,
